message,input_type,label,scam_type
【銀行通知】您的帳戶發生異常登入，請立即點擊 https://bit.ly/bank-verify 重新驗證帳號密碼與OTP驗證碼，否則24小時內將凍結帳戶。,SMS,RED,假銀行釣魚
您的包裹配送失敗，請立即點擊 http://reurl.cc/fake 更新收件地址與信用卡資料，否則包裹將退回。,SMS,RED,假包裹釣魚
我是公司主管，現在有一筆緊急款項需要你先轉帳處理，請不要告訴其他人，完成後私訊我。,LINE,RED,假主管匯款
恭喜您中獎，請立即填寫身分證、銀行帳號與驗證碼領取獎金。,Email,RED,假中獎個資詐騙
加入投資群組，老師帶你穩定獲利，每週保證收益30%，名額有限請立即加入LINE。,Chat,RED,假投資群組
您的包裹配送狀態異常，請盡快確認收件資訊。,SMS,YELLOW,疑似包裹通知
您的帳戶有一筆異常登入紀錄，若非本人操作請盡快確認。,Email,YELLOW,疑似帳戶異常通知
客服通知您目前有一筆退款待確認，請回覆是否需要協助。,LINE,YELLOW,疑似假客服
系統偵測到您的資料可能尚未完成更新，請稍後進行確認。,Email,YELLOW,疑似資料更新通知
您的會員資格即將到期，請留意後續通知。,SMS,YELLOW,疑似會員通知
明天下午三點開會，請記得帶筆電與報告資料。,LINE,GREEN,正常通知
老師提醒大家下週一要繳交期末報告。,LINE,GREEN,正常學校通知
今晚一起吃飯嗎？我大概六點到。,Chat,GREEN,正常聊天
會議記錄已整理完成，請大家有空時查看附件。,Email,GREEN,正常工作信件
您的訂單已送達，感謝您的購買。,SMS,GREEN,正常通知
